RA,Dec
247.351915,-26.432003
240.083355,-22.621706
241.3593,-19.805453
245.297149,-25.592792
248.970637,-28.216017
239.712972,-26.114108
247.784864,-16.612731
241.701779,-20.669192
241.851367,-20.868764
246.755979,-18.456248
246.025769,-20.037327
245.159086,-24.169319
242.998899,-19.460704
248.034166,-21.466392
241.360714,-19.801904
250.393264,-17.742166
237.744769,-25.751296
238.402995,-25.327141
244.574584,-28.614021
242.758619,-29.416218
247.55198,-25.115223
242.031611,-26.326677
246.396324,-23.447171
238.333561,-20.16706
240.081642,-16.533395
248.202338,-26.385027
249.263361,-27.405947
247.445493,-14.550869
252.606659,-25.560471
238.474647,-24.533158
251.646628,-27.388009
250.473713,-19.924376
238.482767,-23.978098
245.597842,-23.69637
252.281401,-23.190362
238.875331,-26.265994
249.904839,-17.883041
244.751753,-14.872824
253.355083,-20.415554
247.275049,-29.413121
240.664255,-29.135797
251.599883,-19.603406
247.845205,-26.537641
253.352739,-25.345859
247.79706,-24.660534
246.494191,-27.526641
243.06683,-28.417309
238.886779,-24.966599
242.999357,-17.053957
249.961174,-24.102409
238.664706,-25.243741
250.507865,-29.753114
248.800926,-26.482412
250.262861,-19.265621
241.526567,-23.606312
250.143824,-20.40865
250.400746,-24.467962
243.722626,-25.476975
247.936329,-23.73213
243.964564,-14.849116
244.246661,-20.104087
250.751282,-26.694628
251.375728,-19.136923
247.091387,-26.593918
251.074427,-22.113457
246.471288,-27.582958
252.680624,-17.563634
250.406502,-27.809678
253.708299,-25.712567
253.825405,-22.318192
242.480296,-18.340622
252.806235,-20.736818
246.821188,-20.143051
246.165724,-29.704658
251.286858,-22.87203
251.271963,-22.330801
248.60344,-25.974365
241.9662,-24.462348
253.870212,-21.601537
243.685533,-20.611503
253.524607,-27.279606
254.087207,-25.29097
251.449179,-18.295784
249.74335,-22.955782
243.620351,-21.107635
253.395792,-20.628032
243.418101,-21.399959
251.81277,-26.744388
246.98478,-26.084516
248.671706,-24.406851
253.711747,-23.512373
242.993866,-19.450224
245.427532,-18.934067
249.937293,-22.112264
250.154664,-18.804581
251.072489,-27.456244
242.566341,-26.909123
251.477677,-21.206856
252.287482,-24.902442
241.262091,-18.539477
244.244862,-21.304134
250.327816,-18.059462
244.275921,-25.744266
247.088026,-14.527569
252.057628,-24.526651
250.604885,-19.884564
244.11123,-24.281949
248.324886,-26.582541
248.847241,-17.715379
247.660708,-27.823858
246.078146,-29.185968
252.435147,-24.640745
249.073328,-26.346923
252.435147,-24.640747
239.864984,-27.016287
243.085679,-15.34957
254.432713,-23.603062
246.230496,-23.264519
251.348706,-20.053673
247.898081,-22.270301
242.029931,-27.730436
249.243538,-29.735655
244.522901,-21.81778
240.283661,-24.266605
249.621622,-23.061622
249.057944,-21.588299
249.764157,-19.7537
251.363552,-22.279465
243.067978,-28.416959
246.406251,-18.102871
254.130454,-23.976026
253.477514,-23.229119
250.501521,-20.717508
241.395629,-24.223342
251.286125,-23.184034
242.029681,-18.243133
254.911509,-23.149828
250.074674,-23.895891
240.274313,-21.155649
252.395751,-21.852337
251.500154,-22.811282
245.910268,-26.555342
245.913611,-26.551688
243.296455,-15.116967
253.024262,-25.067767
242.889676,-27.150852
253.452766,-25.35499
248.475056,-29.736782
252.648572,-18.065696
241.48874,-27.791886
244.169907,-29.892715
241.741469,-27.719288
246.873665,-29.288271
247.158035,-26.084426
248.782464,-27.915243
245.329964,-23.707986
251.45193,-26.649417
253.255283,-25.353742
246.009384,-27.704878
254.190649,-20.81073
251.019988,-18.541218
247.882977,-26.654481
254.026193,-23.665807
251.991517,-22.998951
247.066905,-16.212181
252.584797,-27.996801
243.545417,-19.001072
252.734295,-25.177259
241.127351,-28.931048
239.893947,-28.059262
249.818354,-29.924238
252.977021,-21.609823
243.518326,-22.940386
