EPIC,RA,Dec,Ch,Col,Row
204365093,240.08336,-22.62171,77,998,955
203598704,245.29715,-25.59279,40,229,880
202828035,248.97064,-28.21602,16,412,859
203445441,239.71297,-26.11411,75,657,806
204830759,241.70178,-20.66919,67,355,48
204786170,241.85137,-20.86876,67,169,167
205283834,246.75598,-18.45625,48,305,106
204968122,246.02577,-20.03733,45,1034,678
205088588,242.9989,-19.4607,65,828,957
204648355,248.03417,-21.46639,22,352,162
202720172,244.57458,-28.61402,55,172,772
202511271,242.75862,-29.41622,56,573,131
203736321,247.55198,-25.11522,38,121,991
203382781,242.03161,-26.32668,60,124,365
204155172,246.39632,-23.44717,43,954,164
203057357,249.26336,-27.40595,13,721,598
203608171,252.60666,-25.56047,1,372,974
203400626,238.87533,-26.26599,75,532,122
203669803,253.35274,-25.34586,4,500,564
203022961,246.49419,-27.52664,33,1070,510
202773170,243.06683,-28.41731,56,867,1024
203777591,238.88678,-24.9666,76,516,151
205518472,242.99936,-17.05396,69,878,956
204888352,250.14382,-20.40865,25,164,44
203267138,250.75128,-26.69463,14,244,78
203007011,246.47129,-27.58296,33,1048,559
202942340,250.4065,-27.80968,14,624,1049
203564038,253.7083,-25.71257,4,133,314
204945651,246.82119,-20.14305,45,367,533
203907974,241.9662,-24.46235,57,144,110
204843595,243.68553,-20.6115,66,321,436
204280811,249.74335,-22.95578,24,397,699
204663881,243.4181,-21.39996,61,16,699
203454334,246.98478,-26.08452,39,656,336
204138691,253.71175,-23.51237,3,117,59
205090673,242.99387,-19.45022,65,819,961
205193157,245.42753,-18.93407,47,751,455
204494085,249.93729,-22.11226,23,1083,463
205218030,250.15466,-18.80458,28,15,676
203043210,251.07249,-27.45624,14,58,793
203795176,252.28748,-24.90244,1,996,780
203554806,244.27592,-25.74427,59,248,794
203892087,252.05763,-24.52665,2,867,640
203950826,244.11123,-24.28195,58,304,39
202938298,247.66071,-27.82386,34,242,856
202569320,246.07815,-29.18597,36,628,181
203863931,252.43515,-24.64074,2,1007,938
203863930,252.43515,-24.64075,2,1007,938
204201856,246.2305,-23.26452,43,1079,339
202964868,242.02993,-27.73044,53,60,484
204253535,249.62162,-23.06162,24,312,809
204619355,249.05794,-21.5883,22,539,1011
205028012,249.76416,-19.7537,25,427,664
202773266,243.06798,-28.41696,56,868,1024
203749599,253.02426,-25.06777,4,784,802
203667165,253.45277,-25.35499,4,481,484
202543441,246.87366,-29.28827,35,976,41
203454361,247.15804,-26.08443,39,516,325
202912230,248.78246,-27.91524,13,294,1021
203667522,253.25528,-25.35374,4,503,644
202972093,246.00938,-27.70488,33,670,643
205180361,243.54542,-19.00107,65,440,469
203718564,252.7343,-25.17726,4,716,1049
204284738,243.51833,-22.94039,62,810,693
203755471,242.94303,-25.04637,57,921,673
202537168,243.82933,-29.313,55,802,173
203828405,244.23325,-24.7796,58,231,494
205076122,246.31276,-19.52256,48,757,1040
203619958,253.20406,-25.51949,4,360,703
202722116,250.45049,-28.60646,15,673,396
202670623,250.69911,-28.80006,15,494,199
204487580,250.05796,-22.13913,24,1107,365
205177309,249.20274,-19.01661,28,845,792
203335033,246.42721,-26.48044,40,1089,14
205206375,249.06258,-18.8659,28,952,646
202754037,249.27806,-28.48851,16,633,589
203727027,247.49666,-25.14779,38,169,1017
202934519,250.16961,-27.83747,14,815,1053
202801798,246.98717,-28.31274,35,816,914
204650238,249.61606,-21.45818,23,467,674
203010694,248.40795,-27.56984,13,23,681
203769244,252.51035,-24.99706,1,889,952
203496548,246.52217,-25.94339,39,1022,493
203123999,247.6457,-27.17645,34,205,271
204134123,253.55537,-23.53042,3,117,190
204906549,245.63659,-20.32489,46,841,442
204441119,249.11436,-22.32406,21,1017,995
203544783,238.80145,-25.7787,75,974,75
203323192,245.89975,-26.51692,40,660,12
204244734,250.10291,-23.09641,24,241,413
204010032,252.06498,-24.02519,2,416,697
204267529,249.45066,-23.00603,24,376,946
204710485,247.328,-21.19858,42,15,31
204913903,249.92578,-20.2916,25,338,167
202820669,243.7164,-28.24377,54,840,1017
204218009,246.35934,-23.2021,43,968,387
204147008,253.66355,-23.4798,3,83,95
203071941,246.16889,-27.35557,33,821,336
204961195,249.1916,-20.07002,25,939,423
203197567,247.61675,-26.926,34,209,43
202939508,249.81645,-27.81946,14,1095,1006
203009836,247.93519,-27.57297,34,3,649
204601171,249.98753,-21.66498,23,684,381
202809112,249.01225,-28.286,16,439,793
204463536,246.22289,-22.2353,42,1016,894
203143380,248.69089,-27.11028,13,287,288
205135936,248.97633,-19.2257,28,1056,963
203199259,250.20337,-26.92025,14,706,231
205257213,247.81482,-18.59888,27,229,306
203648381,252.79405,-25.4203,4,492,1025
205118540,246.95137,-19.31263,48,199,892
