EPIC,RA,Dec,KepMag
203350682,247.3519150,-26.4320030,0.795
204365093,240.0833550,-22.6217060,2.435
205017127,241.3593000,-19.8054530,2.748
203598704,245.2971490,-25.5927920,2.980
202828035,248.9706370,-28.2160170,2.986
203445441,239.7129720,-26.1141080,3.035
205581514,247.7848640,-16.6127310,4.043
204830759,241.7017790,-20.6691920,4.078
204786170,241.8513670,-20.8687640,4.113
205283834,246.7559790,-18.4562480,4.296
204968122,246.0257690,-20.0373270,4.303
203976901,245.1590860,-24.1693190,4.425
205088588,242.9988990,-19.4607040,4.464
204648355,248.0341660,-21.4663920,4.501
205017883,241.3607140,-19.8019040,4.639
205412656,250.3932640,-17.7421660,4.733
249194147,237.7447690,-25.7512960,4.786
203675217,238.4029950,-25.3271410,4.870
202720172,244.5745840,-28.6140210,4.893
202511271,242.7586190,-29.4162180,4.897
203736321,247.5519800,-25.1152230,4.949
203382781,242.0316110,-26.3266770,5.019
204155172,246.3963240,-23.4471710,5.099
204940584,238.3335610,-20.1670600,5.157
205592273,240.0816420,-16.5333950,5.386
203365247,248.2023380,-26.3850270,5.412
203057357,249.2633610,-27.4059470,5.471
205809166,247.4454930,-14.5508690,5.476
203608171,252.6066590,-25.5604710,5.485
203890522,238.4746470,-24.5331580,5.499
203062581,251.6466280,-27.3880090,5.508
204992066,250.4737130,-19.9243760,5.522
204021511,238.4827670,-23.9780980,5.540
204092682,245.5978420,-23.6963700,5.565
204220966,252.2814010,-23.1903620,5.644
203400626,238.8753310,-26.2659940,5.696
205388694,249.9048390,-17.8830410,5.697
205781581,244.7517530,-14.8728240,5.704
204886768,253.3550830,-20.4155540,5.714
202512033,247.2750490,-29.4131210,5.784
202582147,240.6642550,-29.1357970,5.799
205059212,251.5998830,-19.6034060,5.844
203316490,247.8452050,-26.5376410,5.886
203669803,253.3527390,-25.3458590,5.886
203859066,247.7970600,-24.6605340,5.909
203022961,246.4941910,-27.5266410,5.938
202773170,243.0668300,-28.4173090,5.939
203777591,238.8867790,-24.9665990,5.940
205518472,242.9993570,-17.0539570,5.977
203992382,249.9611740,-24.1024090,6.005
203699392,238.6647060,-25.2437410,6.007
202429064,250.5078650,-29.7531140,6.020
203334401,248.8009260,-26.4824120,6.034
205128013,250.2628610,-19.2656210,6.036
204115056,241.5265670,-23.6063120,6.045
204888352,250.1438240,-20.4086500,6.053
203906601,250.4007460,-24.4679620,6.100
203632174,243.7226260,-25.4769750,6.164
204083831,247.9363290,-23.7321300,6.169
205783745,243.9645640,-14.8491160,6.171
204953941,244.2466610,-20.1040870,6.177
203267138,250.7512820,-26.6946280,6.234
205153637,251.3757280,-19.1369230,6.235
