Number,RA,Dec,Ch,Col,Row,Flag
1,247.35191,-26.43200,0,0,0,1
2,240.08336,-22.62171,77,998,955,2
3,241.35930,-19.80545,0,0,0,1
4,245.29715,-25.59279,40,229,880,2
5,248.97064,-28.21602,16,412,859,2
6,239.71297,-26.11411,75,657,806,2
7,247.78486,-16.61273,0,0,0,1
8,241.70178,-20.66919,67,355,48,2
9,241.85137,-20.86876,67,169,167,2
10,246.75598,-18.45625,48,305,106,2
11,246.02577,-20.03733,45,1034,678,2
12,245.15909,-24.16932,0,0,0,1
13,242.99890,-19.46070,65,828,957,2
14,248.03417,-21.46639,22,352,162,2
15,241.36071,-19.80190,0,0,0,1
16,250.39326,-17.74217,0,0,0,1
17,237.74477,-25.75130,0,0,0,0
18,238.40300,-25.32714,0,0,0,1
19,244.57458,-28.61402,55,172,772,2
20,242.75862,-29.41622,56,573,131,2
21,247.55198,-25.11522,38,121,991,2
22,242.03161,-26.32668,60,124,365,2
23,246.39632,-23.44717,43,954,164,2
24,238.33356,-20.16706,0,0,0,1
25,240.08164,-16.53339,0,0,0,0
26,248.20234,-26.38503,0,0,0,1
27,249.26336,-27.40595,13,721,598,2
28,247.44549,-14.55087,0,0,0,1
29,252.60666,-25.56047,1,372,974,2
30,238.47465,-24.53316,0,0,0,1
31,251.64663,-27.38801,0,0,0,1
32,250.47371,-19.92438,0,0,0,1
33,238.48277,-23.97810,0,0,0,1
34,245.59784,-23.69637,0,0,0,1
35,252.28140,-23.19036,0,0,0,1
36,238.87533,-26.26599,75,532,122,2
37,249.90484,-17.88304,0,0,0,1
38,244.75175,-14.87282,0,0,0,1
39,253.35508,-20.41555,0,0,0,1
40,247.27505,-29.41312,0,0,0,1
41,240.66425,-29.13580,0,0,0,0
42,251.59988,-19.60341,0,0,0,1
43,247.84520,-26.53764,0,0,0,1
44,253.35274,-25.34586,4,500,564,2
45,247.79706,-24.66053,0,0,0,1
46,246.49419,-27.52664,33,1070,510,2
47,243.06683,-28.41731,56,867,1024,2
48,238.88678,-24.96660,76,516,151,2
49,242.99936,-17.05396,69,878,956,2
50,249.96117,-24.10241,0,0,0,1
51,238.66471,-25.24374,0,0,0,1
52,250.50787,-29.75311,0,0,0,0
53,248.80093,-26.48241,0,0,0,1
54,250.26286,-19.26562,0,0,0,1
55,241.52657,-23.60631,0,0,0,1
56,250.14382,-20.40865,25,164,44,2
57,250.40075,-24.46796,0,0,0,1
58,243.72263,-25.47697,0,0,0,1
59,247.93633,-23.73213,0,0,0,1
60,243.96456,-14.84912,0,0,0,1
61,244.24666,-20.10409,0,0,0,1
62,250.75128,-26.69463,14,244,78,2
63,251.37573,-19.13692,0,0,0,1
64,247.09139,-26.59392,0,0,0,1
65,251.07443,-22.11346,0,0,0,1
66,246.47129,-27.58296,33,1048,559,2
67,252.68062,-17.56363,0,0,0,1
68,250.40650,-27.80968,14,624,1049,2
69,253.70830,-25.71257,4,133,314,2
70,253.82540,-22.31819,0,0,0,1
71,242.48030,-18.34062,0,0,0,1
72,252.80623,-20.73682,0,0,0,1
73,246.82119,-20.14305,45,367,533,2
74,246.16572,-29.70466,0,0,0,1
75,251.28686,-22.87203,0,0,0,1
76,251.27196,-22.33080,0,0,0,1
77,248.60344,-25.97436,0,0,0,1
78,241.96620,-24.46235,57,144,110,2
79,253.87021,-21.60154,0,0,0,1
80,243.68553,-20.61150,66,321,436,2
81,253.52461,-27.27961,0,0,0,0
82,254.08721,-25.29097,0,0,0,1
83,251.44918,-18.29578,0,0,0,1
84,249.74335,-22.95578,24,397,699,2
85,243.62035,-21.10763,0,0,0,1
86,253.39579,-20.62803,0,0,0,1
87,243.41810,-21.39996,61,16,699,2
88,251.81277,-26.74439,0,0,0,1
89,246.98478,-26.08452,39,656,336,2
90,248.67171,-24.40685,0,0,0,1
91,253.71175,-23.51237,3,117,59,2
92,242.99387,-19.45022,65,819,961,2
93,245.42753,-18.93407,47,751,455,2
94,249.93729,-22.11226,23,1083,463,2
95,250.15466,-18.80458,28,15,676,2
96,251.07249,-27.45624,14,58,793,2
97,242.56634,-26.90912,0,0,0,1
98,251.47768,-21.20686,0,0,0,1
99,252.28748,-24.90244,1,996,780,2
100,241.26209,-18.53948,0,0,0,1
101,244.24486,-21.30413,0,0,0,1
102,250.32782,-18.05946,0,0,0,1
103,244.27592,-25.74427,59,248,794,2
104,247.08803,-14.52757,0,0,0,1
105,252.05763,-24.52665,2,867,640,2
106,250.60488,-19.88456,0,0,0,1
107,244.11123,-24.28195,58,304,39,2
108,248.32489,-26.58254,0,0,0,1
109,248.84724,-17.71538,0,0,0,1
110,247.66071,-27.82386,34,242,856,2
111,246.07815,-29.18597,36,628,181,2
112,252.43515,-24.64074,2,1007,938,2
113,249.07333,-26.34692,0,0,0,1
114,252.43515,-24.64075,2,1007,938,2
115,239.86498,-27.01629,0,0,0,1
116,243.08568,-15.34957,0,0,0,1
117,254.43271,-23.60306,0,0,0,1
118,246.23050,-23.26452,43,1079,339,2
119,251.34871,-20.05367,0,0,0,1
120,247.89808,-22.27030,0,0,0,1
121,242.02993,-27.73044,53,60,484,2
122,249.24354,-29.73566,0,0,0,1
123,244.52290,-21.81778,0,0,0,1
124,240.28366,-24.26660,0,0,0,1
125,249.62162,-23.06162,24,312,809,2
126,249.05794,-21.58830,22,539,1011,2
127,249.76416,-19.75370,25,427,664,2
128,251.36355,-22.27946,0,0,0,1
129,243.06798,-28.41696,56,868,1024,2
130,246.40625,-18.10287,0,0,0,1
131,254.13045,-23.97603,0,0,0,1
132,253.47751,-23.22912,0,0,0,1
133,250.50152,-20.71751,0,0,0,1
134,241.39563,-24.22334,0,0,0,1
135,251.28612,-23.18403,0,0,0,1
136,242.02968,-18.24313,0,0,0,1
137,254.91151,-23.14983,0,0,0,1
138,250.07467,-23.89589,0,0,0,1
139,240.27431,-21.15565,0,0,0,1
140,252.39575,-21.85234,0,0,0,1
141,251.50015,-22.81128,0,0,0,1
142,245.91027,-26.55534,0,0,0,1
143,245.91361,-26.55169,0,0,0,1
144,243.29646,-15.11697,0,0,0,1
145,253.02426,-25.06777,4,784,802,2
146,242.88968,-27.15085,0,0,0,1
147,253.45277,-25.35499,4,481,484,2
148,248.47506,-29.73678,0,0,0,1
149,252.64857,-18.06570,0,0,0,1
150,241.48874,-27.79189,0,0,0,1
151,244.16991,-29.89271,0,0,0,1
152,241.74147,-27.71929,0,0,0,1
153,246.87366,-29.28827,35,976,41,2
154,247.15804,-26.08443,39,516,325,2
155,248.78246,-27.91524,13,294,1021,2
156,245.32996,-23.70799,0,0,0,1
157,251.45193,-26.64942,0,0,0,1
158,253.25528,-25.35374,4,503,644,2
159,246.00938,-27.70488,33,670,643,2
160,254.19065,-20.81073,0,0,0,1
161,251.01999,-18.54122,0,0,0,1
162,247.88298,-26.65448,0,0,0,1
163,254.02619,-23.66581,0,0,0,1
164,251.99152,-22.99895,0,0,0,1
165,247.06690,-16.21218,0,0,0,1
166,252.58480,-27.99680,0,0,0,1
167,243.54542,-19.00107,65,440,469,2
168,252.73430,-25.17726,4,716,1049,2
169,241.12735,-28.93105,0,0,0,1
170,239.89395,-28.05926,0,0,0,1
171,249.81835,-29.92424,0,0,0,1
172,252.97702,-21.60982,0,0,0,1
173,243.51833,-22.94039,62,810,693,2
174,254.29196,-25.13067,0,0,0,1
175,247.18968,-17.98499,0,0,0,1
176,253.95243,-23.60228,0,0,0,1
177,241.41863,-20.45006,0,0,0,1
178,242.94303,-25.04637,57,921,673,2
179,243.82933,-29.31300,55,802,173,2
180,244.23325,-24.77960,58,231,494,2
181,251.78472,-19.46777,0,0,0,1
182,253.87818,-26.12645,0,0,0,1
183,246.31276,-19.52256,48,757,1040,2
184,249.32301,-18.12341,0,0,0,1
185,239.30696,-27.64256,0,0,0,1
186,253.20406,-25.51949,4,360,703,2
187,250.91569,-29.38748,0,0,0,1
188,246.67519,-29.95497,0,0,0,1
189,250.45049,-28.60646,15,673,396,2
190,250.69911,-28.80006,15,494,199,2
191,252.61471,-24.82684,0,0,0,1
192,243.01022,-18.23262,0,0,0,1
193,254.10472,-20.51224,0,0,0,1
194,250.76463,-23.04761,0,0,0,1
195,250.05796,-22.13913,24,1107,365,2
196,249.20274,-19.01661,28,845,792,2
197,246.42721,-26.48044,40,1089,14,2
198,243.11479,-30.28385,0,0,0,0
199,250.89430,-20.22282,0,0,0,1
200,247.42965,-26.79089,0,0,0,1
201,249.06258,-18.86590,28,952,646,2
202,249.27806,-28.48851,16,633,589,2
203,247.49666,-25.14779,38,169,1017,2
204,250.16961,-27.83747,14,815,1053,2
205,246.98717,-28.31274,35,816,914,2
206,237.66605,-23.25819,0,0,0,1
207,237.37132,-22.22301,0,0,0,1
208,237.48574,-21.49074,0,0,0,1
209,249.61606,-21.45818,23,467,674,2
210,248.40795,-27.56984,13,23,681,2
211,250.28863,-19.10111,0,0,0,1
212,238.42339,-25.28674,0,0,0,1
213,253.73825,-23.36903,0,0,0,1
214,253.48720,-17.97647,0,0,0,0
215,251.93748,-21.40519,0,0,0,1
216,252.51035,-24.99706,1,889,952,2
217,243.36196,-18.10103,0,0,0,1
218,249.74973,-20.82796,0,0,0,1
219,246.52217,-25.94339,39,1022,493,2
220,247.64570,-27.17645,34,205,271,2
221,250.17696,-24.53391,0,0,0,1
222,253.55537,-23.53042,3,117,190,2
223,254.07894,-23.30515,0,0,0,1
224,245.29557,-23.72467,0,0,0,1
225,240.97395,-26.81018,0,0,0,1
226,245.63659,-20.32489,46,841,442,2
227,248.31724,-26.03850,0,0,0,1
228,243.46249,-30.21219,0,0,0,1
229,249.11436,-22.32406,21,1017,995,2
230,238.80145,-25.77870,75,974,75,2
231,245.89975,-26.51692,40,660,12,2
232,250.06823,-26.16794,0,0,0,1
233,253.98626,-23.84256,0,0,0,1
234,252.78260,-20.62750,0,0,0,1
235,250.10291,-23.09641,24,241,413,2
236,252.06498,-24.02519,2,416,697,2
237,249.45066,-23.00603,24,376,946,2
238,244.33723,-15.32800,0,0,0,1
239,252.96566,-26.87383,0,0,0,1
240,251.07220,-26.29548,0,0,0,1
241,248.19971,-27.29528,0,0,0,1
242,248.05392,-26.10542,0,0,0,1
243,248.46288,-14.46662,0,0,0,0
244,244.78514,-28.29388,0,0,0,1
245,248.07080,-27.99315,0,0,0,1
246,247.32800,-21.19858,42,15,31,2
247,249.92578,-20.29160,25,338,167,2
248,246.45257,-29.91840,0,0,0,1
249,251.08991,-19.91968,0,0,0,1
250,252.62598,-17.13509,0,0,0,1
251,252.54462,-26.74255,0,0,0,1
252,243.71640,-28.24377,54,840,1017,2
253,246.35934,-23.20210,43,968,387,2
254,247.01626,-26.85728,0,0,0,1
255,253.66355,-23.47980,3,83,95,2
256,243.28331,-29.62271,0,0,0,1
257,240.73908,-24.17361,0,0,0,1
258,246.16889,-27.35557,33,821,336,2
259,240.26757,-27.04783,0,0,0,1
260,251.49283,-27.36713,0,0,0,1
261,248.12633,-26.76356,0,0,0,1
262,248.89039,-26.09905,0,0,0,1
263,244.61774,-23.27430,0,0,0,1
264,237.77170,-22.62664,0,0,0,1
265,255.04711,-23.36609,0,0,0,0
266,254.53363,-23.14289,0,0,0,1
267,249.19160,-20.07002,25,939,423,2
268,250.27696,-24.15281,0,0,0,1
269,253.47976,-26.07840,0,0,0,1
270,251.07359,-22.52358,0,0,0,1
271,249.51366,-26.05870,0,0,0,1
272,251.03026,-20.39047,0,0,0,1
273,253.96009,-24.01719,0,0,0,1
274,250.91538,-22.73648,0,0,0,1
275,252.35848,-27.29551,0,0,0,1
276,254.26660,-19.53988,0,0,0,1
277,252.77309,-27.97992,0,0,0,1
278,247.61675,-26.92600,34,209,43,2
279,252.30965,-23.20893,0,0,0,1
280,251.68380,-21.58062,0,0,0,1
281,254.26551,-19.54064,0,0,0,1
282,241.77639,-26.18134,0,0,0,1
283,250.66369,-21.74485,0,0,0,1
284,249.81645,-27.81946,14,1095,1006,2
285,250.05530,-26.32219,0,0,0,1
286,250.02412,-26.06067,0,0,0,1
287,251.39304,-28.84065,0,0,0,1
288,252.78808,-22.11995,0,0,0,1
289,249.46260,-26.32420,0,0,0,1
290,246.76864,-20.75567,0,0,0,1
291,247.93519,-27.57297,34,3,649,2
292,249.98753,-21.66498,23,684,381,2
293,249.01225,-28.28600,16,439,793,2
294,250.79366,-25.32657,0,0,0,1
295,246.22289,-22.23530,42,1016,894,2
296,248.69089,-27.11028,13,287,288,2
297,252.63926,-18.13057,0,0,0,1
298,250.67748,-19.68439,0,0,0,1
299,238.51991,-26.18945,0,0,0,1
300,239.49072,-17.09000,0,0,0,0
301,246.41308,-29.40044,0,0,0,1
302,248.26182,-26.82228,0,0,0,1
303,248.97633,-19.22570,28,1056,963,2
304,248.29424,-28.12034,0,0,0,1
305,252.14572,-20.39683,0,0,0,1
306,250.20337,-26.92025,14,706,231,2
307,248.07116,-27.26101,0,0,0,1
308,249.06289,-24.63801,0,0,0,1
309,247.81482,-18.59888,27,229,306,2
310,251.40497,-21.70535,0,0,0,1
311,247.67499,-29.48307,0,0,0,1
312,252.79405,-25.42030,4,492,1025,2
313,250.19028,-20.61158,0,0,0,1
314,251.29629,-21.11081,0,0,0,1
315,249.09472,-14.64148,0,0,0,0
316,251.41876,-20.99259,0,0,0,1
317,246.95137,-19.31263,48,199,892,2
318,249.36117,-19.34258,0,0,0,1
319,248.94501,-22.88952,21,520,807,2
320,250.90707,-20.69671,0,0,0,1
321,251.48186,-25.41824,1,610,74,2
322,251.68126,-28.90931,0,0,0,1
323,241.71431,-21.86384,64,365,12,2
324,250.37694,-22.62163,24,646,143,2
325,239.54869,-26.49265,75,318,661,2
326,249.51202,-25.14140,0,0,0,1
327,249.35617,-26.22716,0,0,0,1
328,242.81602,-18.11659,0,0,0,1
329,248.33549,-28.10880,0,0,0,1
330,246.84866,-23.28481,43,568,281,2
331,249.83059,-18.95317,28,305,784,2
332,250.36945,-18.98181,0,0,0,1
333,240.82451,-18.26918,0,0,0,1
334,247.28231,-20.23464,0,0,0,1
335,253.07456,-27.01616,0,0,0,1
336,249.33043,-27.90282,13,733,1052,2
337,250.91279,-22.92520,0,0,0,1
338,245.71605,-24.09631,0,0,0,1
339,251.61522,-18.01520,0,0,0,1
340,248.13225,-27.45635,0,0,0,1
341,247.60202,-29.10452,35,389,158,2
342,253.11299,-25.05853,4,783,729,2
343,248.85427,-29.53092,0,0,0,1
344,251.79798,-21.63271,0,0,0,1
345,251.20770,-27.45611,0,0,0,1
346,254.76250,-23.25622,0,0,0,1
347,247.78007,-19.51407,26,130,1033,2
348,249.48907,-20.80284,0,0,0,1
349,244.56087,-26.14855,59,40,415,2
350,246.01964,-25.57028,40,819,860,2
351,250.13503,-24.31109,0,0,0,1
352,238.87071,-26.80748,75,42,103,2
353,253.66986,-24.06410,3,608,154,2
354,252.68104,-25.42751,1,484,1048,2
355,251.24283,-22.39701,0,0,0,1
356,245.96386,-30.18136,0,0,0,1
357,252.76001,-17.98949,0,0,0,1
358,251.42612,-19.62388,0,0,0,1
359,248.97353,-28.55083,16,387,557,2
360,241.76947,-16.94326,0,0,0,1
361,249.73011,-20.82329,0,0,0,1
362,246.38387,-23.90065,0,0,0,1
363,248.62860,-28.50620,16,118,623,2
364,251.56303,-17.34664,0,0,0,1
365,248.11202,-27.13711,0,0,0,1
366,248.30680,-28.11535,0,0,0,1
367,248.10485,-27.18992,0,0,0,1
368,249.86473,-22.36985,24,915,547,2
369,248.85236,-28.06705,16,330,1002,2
370,247.98146,-26.23854,0,0,0,1
371,251.46340,-25.94894,1,134,10,2
372,244.28675,-20.40730,0,0,0,1
373,241.81007,-25.50844,0,0,0,1
374,253.54191,-24.20924,3,725,276,2
375,253.13452,-23.36878,0,0,0,1
