EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
206101883,22 26 12.505,-12 03 02.69,0,7.947,,5807-1692-1,390-137458,22261250-1203025,,STAR,BV,-26.600,1.300,-4.300,1.300,,,9.349,0.028,8.167,0.015,,,,,,,,,,,6.227,0.019,5.672,0.046,5.519,0.027,,,,,,,,,57.631
206154546,22 30 38.815,-10 40 40.62,0,4.960,111123,5814-1593-1,397-131110,,,STAR,BV,0.300,1.270,-26.870,0.770,11.260,1.260,4.775,0.014,4.823,0.009,,,,,,,,,,,,,,,,,,,,,,,,,63.856
206093346,22 27 27.969,-12 16 17.75,0,7.919,,5807-1678-1,389-137188,22272797-1216177,,STAR,BV,-7.600,1.200,-5.700,1.400,,,9.754,0.035,8.230,0.015,,,,,,,,,,,5.427,0.018,,,4.442,0.026,,,,,,,,,71.480
206201117,22 29 04.913,-09 44 28.23,0,7.577,110979,5811-350-1,402-129375,22290491-0944282,,STAR,BV,44.560,0.910,-88.260,0.680,13.030,0.890,8.338,0.017,7.699,0.012,,,,,,,,,,,6.598,0.020,6.333,0.044,6.250,0.031,,,,,,,,,88.823
206067310,22 24 44.142,-12 57 27.99,0,7.469,110637,5810-930-1,386-151375,22244415-1257279,,STAR,BV,10.640,1.170,-26.300,0.650,3.170,1.000,9.103,0.023,7.738,0.013,,,,,,,,,,,5.316,0.021,,,,,,,,,,,,,115.185
206095286,22 20 16.307,-12 13 17.61,0,7.632,110278,5807-1689-1,389-136977,22201630-1213175,,STAR,BV,49.420,0.760,-9.170,0.600,5.990,0.790,8.851,0.021,7.814,0.013,,,,,,,,,,,5.999,0.020,5.466,0.044,5.305,0.023,,,,,,,,,115.611
206058903,22 24 33.042,-13 11 05.59,0,7.404,110611,5810-1387-1,385-159614,,,STAR,BV,-7.730,0.730,-18.940,0.480,3.350,0.750,9.237,0.028,7.714,0.013,,,,,,,,,,,,,,,,,,,,,,,,,129.059
206209404,22 34 06.614,-09 36 30.58,0,6.322,111398,5811-877-1,402-129532,,,STAR,BV,-18.500,0.620,-7.450,0.450,3.240,0.560,7.753,0.015,6.548,0.010,,,,,,,,,,,,,,,,,,,,,,,,,141.609
206117340,22 16 45.415,-11 38 56.67,0,7.091,109998,5806-1763-1,392-128310,22164540-1138566,,STAR,BV,45.190,0.870,-29.410,0.630,5.400,0.710,8.262,0.019,7.263,0.012,,,,,,,,,,,5.550,0.026,5.101,0.021,4.870,0.023,,,,,,,,,149.373
206045955,22 24 27.060,-13 31 45.73,0,5.590,110602,5810-1136-1,383-164042,,,STAR,BV,50.280,0.350,14.250,0.250,7.120,0.380,6.717,0.015,5.752,0.010,,,,,,,,,,,,,,,,,,,,,,,,,149.513
206114405,22 37 06.349,-11 43 51.81,0,7.010,111652,5814-1123-1,392-128924,,,STAR,BV,93.110,0.900,-19.760,0.640,3.720,0.670,8.535,0.019,7.255,0.011,,,,,,,,,,,,,,,,,,,,,,,,,158.214
206054412,22 19 00.740,-13 18 17.98,0,5.765,110179,5810-1304-1,384-156490,,,STAR,BV,73.280,0.460,-9.500,0.270,8.820,0.430,7.045,0.015,5.959,0.010,,,,,,,,,,,,,,,,,,,,,,,,,173.582
206072064,22 16 48.045,-12 49 53.17,0,5.127,110000,5809-1804-1,386-151096,,,STAR,BV,1.890,0.320,5.030,0.280,5.560,0.310,6.463,0.015,5.333,0.010,,,,,,,,,,,,,,,,,,,,,,,,,178.239
206069576,22 37 05.397,-12 53 52.29,0,7.213,111651,5817-58-1,386-151758,,,STAR,BV,-1.720,0.950,-8.220,0.640,3.080,0.870,8.977,0.021,7.509,0.012,,,,,,,,,,,,,,,,,,,,,,,,,187.322
206246606,22 16 52.566,-09 02 24.24,0,5.576,110009,5803-1997-1,405-134255,,,STAR,BV,-57.800,0.420,-12.410,0.330,8.830,0.430,6.956,0.016,5.791,0.010,,,,,,,,,,,,,,,,,,,,,,,,,190.025
206094022,22 14 30.684,-12 15 13.49,0,7.888,109811,5806-1333-1,389-136806,22143068-1215135,,STAR,BV,16.570,0.830,28.250,0.660,4.210,0.780,8.929,0.021,8.087,0.015,,,,,,,,,,,6.443,0.019,5.935,0.026,5.857,0.016,,,,,,,,,191.502
206118948,22 40 20.716,-11 36 18.80,0,7.594,111930,5815-1112-1,392-128993,,,STAR,BV,-2.520,0.760,-8.180,0.550,1.690,0.720,9.495,0.027,7.918,0.013,,,,,,,,,,,,,,,,,,,,,,,,,203.542
206139549,22 12 16.897,-11 03 56.02,0,6.942,109613,5806-1428-1,395-129521,,,STAR,BV,8.230,0.790,-3.630,0.480,2.740,0.750,8.875,0.023,7.274,0.012,,,,,,,,,,,,,,,,,,,,,,,,,211.682
