EPIC,RA,Dec,Ch,Col,Row
206154546,337.66173,-10.67795,43,166,892
206209404,338.52756,-9.60849,22,945,624
206045955,336.11275,-13.52937,58,171,33
206054412,334.75308,-13.30499,62,416,1016
206072064,334.20019,-12.83144,63,1044,986
206246606,334.21902,-9.04007,47,361,903
206139549,333.0704,-11.06556,67,340,1045
206354282,336.64457,-7.37755,27,417,881
206149074,332.63238,-10.82039,67,742,844
206021825,333.10732,-14.19396,78,556,77
206404765,337.8263,-6.55515,28,511,873
206410048,338.14192,-6.46718,28,233,968
205984021,339.64053,-15.29926,33,1094,522
206303603,332.362,-8.18573,69,231,247
205962004,334.3633,-15.97976,73,1045,70
206159530,342.12588,-10.55547,2,914,172
205938920,336.64279,-16.74211,53,785,104
206033449,331.60928,-13.86968,77,695,1011
205949434,339.02682,-16.38799,33,88,1024
206043611,342.39792,-13.59263,14,838,664
206502122,336.02868,-4.83702,29,952,901
205974636,341.36667,-15.5834,35,52,559
