EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
211859826,08 44 41.099,+18 09 15.50,0,3.734,42911,1396-2758-1,541-046975,,,STAR,BV,-17.670,0.270,-229.260,0.180,24.980,0.240,5.010,0.014,3.928,0.009,,,,,,,,,,,,,,,,,,,,,,,,,98.395
211655850,08 36 07.713,+15 18 49.07,0,6.304,42187,1392-2135-1,527-047438,08360770+1518489,,STAR,BV,6.010,0.750,-23.650,0.360,12.860,0.450,6.648,0.015,6.312,0.010,,,,,,,,,,,5.600,0.024,5.505,0.018,5.427,0.018,,,,,,,,,111.732
211877288,08 34 23.318,+18 23 51.50,0,7.188,42058,1395-1087-1,542-045965,,,STAR,BV,-14.820,0.690,-6.960,0.600,3.400,0.760,8.725,0.019,7.436,0.011,,,,,,,,,,,,,,,,,,,,,,,,,129.670
211656985,08 47 18.156,+15 19 45.12,0,7.866,43147,1393-1704-1,527-048013,08471816+1519451,,STAR,BV,-26.900,0.820,-10.960,0.610,6.220,0.840,8.026,0.015,7.824,0.011,,,,,,,,,,,7.478,0.030,7.436,0.026,7.361,0.023,,,,,,,,,131.725
211801338,08 31 31.330,+17 20 08.88,0,7.352,41818,1383-504-1,537-046786,08313132+1720088,,STAR,BV,19.110,0.770,-19.440,0.410,1.370,0.600,9.161,0.026,7.658,0.013,,,,,,,,,,,5.011,0.018,,,,,,,,,,,,,134.082
211855509,08 31 35.730,+18 05 39.92,0,5.015,41822,1383-1642-1,541-046353,,,STAR,BV,-60.850,0.320,-56.140,0.240,7.860,0.290,6.908,0.015,5.337,0.009,,,,,,,,,,,,,,,,,,,,,,,,,149.905
211848940,08 50 40.410,+18 00 12.33,0,6.511,43421,1396-2053-1,541-047213,,,STAR,BV,-9.410,1.450,13.510,0.760,2.770,1.030,7.602,0.016,6.724,0.011,,,,,,,,,,,,,,,,,,,,,,,,,160.061
211954690,08 40 27.011,+19 32 41.31,0,6.310,42556,1395-2733-1,548-046160,08402702+1932415,,STAR,BV,-35.600,0.550,-12.980,0.460,5.560,0.560,6.442,0.015,6.260,0.010,,,,,,,,,,,5.940,0.021,5.922,0.027,5.879,0.018,,,,,,,,,162.932
211954451,08 39 50.715,+19 32 26.93,0,6.409,42497,1395-2737-1,548-046127,,,STAR,BV,-34.080,0.950,-13.070,0.680,3.620,1.050,7.513,0.017,6.566,0.010,,,,,,,,,,,,,,,,,,,,,,,,,163.056
211851107,08 50 57.544,+18 02 00.36,0,7.806,,1396-1904-1,541-047233,08505754+1802004,,STAR,BV,-0.400,0.900,-5.000,1.000,,,9.736,0.046,8.137,0.017,,,,,,,,,,,5.161,0.018,4.598,0.182,,,,,,,,,,,164.512
211957012,08 40 56.299,+19 34 49.22,0,6.783,42600,1395-2552-1,548-046186,08405630+1934492,,STAR,BV,-34.040,0.520,-10.710,0.400,5.860,0.530,6.906,0.015,6.730,0.010,,,,,,,,,,,6.368,0.021,6.330,0.017,6.280,0.018,,,,,,,,,165.102
211962912,08 40 22.087,+19 40 11.78,0,6.236,42549,1395-2963-1,549-045486,,,STAR,BV,-36.040,0.580,-12.900,0.450,4.580,0.570,7.424,0.016,6.411,0.010,,,,,,,,,,,,,,,,,,,,,,,,,170.461
211964025,08 40 20.748,+19 41 12.25,0,7.605,,1395-2006-1,549-045485,08402075+1941120,,STAR,BV,-36.900,1.100,-11.900,1.000,,,7.820,0.016,7.578,0.012,,,,,,,,,,,7.327,0.020,7.294,0.021,7.275,0.023,,,,,,,,,171.475
211963382,08 39 06.108,+19 40 36.54,0,7.461,,1395-1928-1,549-045423,08390612+1940364,,STAR,BV,-35.500,0.900,-11.700,0.900,,,7.688,0.017,7.437,0.012,,,,,,,,,,,6.857,0.026,6.769,0.023,6.708,0.018,,,,,,,,,172.214
211966197,08 40 43.206,+19 43 09.53,0,6.841,42578,1395-2605-1,549-045512,08404321+1943095,,STAR,BV,-35.060,0.630,-11.510,0.440,6.090,0.610,7.012,0.015,6.802,0.010,,,,,,,,,,,6.396,0.020,6.367,0.026,6.329,0.017,,,,,,,,,173.387
211658473,08 51 01.463,+15 21 02.36,0,6.232,43454,1393-1968-1,527-048194,,,STAR,BV,-114.910,0.670,74.830,0.410,26.100,0.510,7.017,0.016,6.361,0.010,,,,,,,,,,,,,,,,,,,,,,,,,174.105
211970121,08 39 42.654,+19 46 42.44,0,6.649,42485,1395-2544-1,549-045449,08394265+1946425,,STAR,BV,-37.430,0.690,-12.010,0.450,5.650,0.640,6.873,0.015,6.624,0.010,,,,,,,,,,,6.106,0.026,5.989,0.016,6.000,0.018,,,,,,,,,177.414
211621378,08 49 55.847,+14 50 00.19,0,7.558,43359,816-2817-1,525-049301,08495585+1450000,,STAR,BV,-33.220,8.340,3.810,5.880,2.250,6.370,8.059,0.018,7.609,0.013,,,,,,,,,,,6.800,0.020,6.636,0.018,6.580,0.018,,,,,,,,,179.878
211917484,08 31 41.296,+18 59 15.84,0,6.141,41833,1387-1613-1,545-046487,,,STAR,BV,-26.310,0.690,-20.990,0.410,4.120,0.510,7.980,0.017,6.452,0.010,,,,,,,,,,,,,,,,,,,,,,,,,181.811
211957644,08 35 19.446,+19 35 24.23,0,6.417,42133,1395-2327-1,548-045884,08351945+1935242,,STAR,BV,-35.310,0.710,-11.830,0.440,4.930,0.550,7.248,0.015,6.558,0.010,,,,,,,,,,,5.374,0.024,,,4.997,0.020,,,,,,,,,182.066
211862520,08 52 35.008,+18 11 29.15,0,7.243,,1396-2082-1,541-047307,08523501+1811292,,STAR,BV,-14.500,1.100,17.000,1.000,,,7.626,0.016,7.262,0.012,,,,,,,,,,,6.478,0.021,6.362,0.031,6.292,0.024,,,,,,,,,189.499
