MJD-57216.958185,Flux
0.000000,4167.160539
0.020434,4171.727732
0.040867,4166.929360
0.061301,4168.964587
0.081734,4167.638701
0.102168,4167.742864
0.122602,4171.024063
0.143035,4168.463954
0.163469,4166.043773
0.183902,4169.354828
0.204336,4166.580485
0.224770,4161.816875
0.245203,4162.452867
0.265637,4165.206535
0.286070,4166.152098
0.306504,4168.154137
0.326938,4169.021156
0.347371,4168.366254
0.367805,4169.507096
0.388238,nan
0.408672,nan
0.429106,4175.671461
0.449539,4177.653447
0.469973,4175.730240
0.490407,4175.134667
0.510840,4175.127519
0.531274,4177.820121
0.551707,4178.466611
0.572141,4178.300169
0.592574,4177.613917
0.613008,4174.857840
0.633442,4178.588372
0.653875,4176.141865
0.674309,4176.215815
0.694743,4182.905009
0.715176,4176.066850
0.735610,4175.521324
0.756043,4179.692595
0.776477,4177.959763
0.796911,4178.280679
0.817344,4175.753385
0.837778,4175.453402
0.858211,4176.057156
0.878645,4177.490092
0.899079,4177.688024
0.919512,4178.179901
0.939946,4177.103007
0.960379,4177.645743
0.980813,4175.837201
1.001247,4178.626826
1.021680,4177.073677
1.042114,4177.705099
1.062547,4175.813371
1.082981,4173.972424
1.103415,4170.132454
1.123848,4173.541995
1.144282,4174.978392
1.164715,4172.927484
1.185149,4175.333630
1.205583,4175.552611
1.226016,4175.146592
1.246450,4172.980764
1.266884,4173.102332
1.287317,4173.875283
1.307751,4180.214547
1.328184,4178.635935
1.348618,4173.232681
1.369051,4175.019368
1.389485,4175.654200
1.409919,4176.646571
1.430352,4177.612086
1.450786,4177.225550
1.471220,4179.728781
1.491653,4177.718075
1.512087,4180.449795
1.532520,4178.230056
1.552954,4177.172915
1.573388,4176.964406
1.593821,4175.768906
1.614255,nan
1.634688,nan
1.655122,4174.890217
1.675556,4174.697346
1.695989,4178.113362
1.716423,4178.366304
1.736856,4177.440523
1.757290,4179.184176
1.777724,4178.291584
1.798157,4183.608651
1.818591,4181.899667
1.839024,4182.743417
1.859458,4184.231699
1.879892,4184.118789
1.900325,nan
1.920759,4178.219026
1.941192,4179.540778
1.961626,4177.809333
1.982060,4178.233684
2.002493,4178.451326
2.022927,4175.294324
2.043360,4178.367214
2.063794,4182.504119
2.084228,4179.163666
2.104661,4174.011689
2.125095,4176.963048
2.145528,4177.134093
2.165962,4179.071084
2.186396,4176.084707
2.206829,4178.407339
2.227263,4175.281430
2.247696,4175.851333
2.268130,4175.279641
2.288564,4178.550723
2.308997,4178.188503
2.329431,4176.354554
2.349864,4176.945585
2.370298,4175.323825
2.390732,4172.977414
2.411165,4173.876921
2.431599,4177.733211
