MJD-57216.958185,Flux
0.000000,1188.490152
0.020434,1189.242849
0.040867,1189.718638
0.061301,1189.409149
0.081734,1189.919728
0.102168,1188.431202
0.122602,1191.412877
0.143035,1189.141621
0.163469,1189.096320
0.183902,1187.892936
0.204336,1187.854851
0.224770,1188.734735
0.245203,1187.333407
0.265637,1187.893766
0.286070,1187.929922
0.306504,1188.889661
0.326938,1189.305559
0.347371,1187.961866
0.367805,1188.386576
0.388238,nan
0.408672,nan
0.429106,1192.897853
0.449539,1193.967565
0.469973,1193.674464
0.490407,1193.059241
0.510840,1193.949144
0.531274,1193.448037
0.551707,1194.401031
0.572141,1194.991358
0.592574,1192.975134
0.613008,1192.866502
0.633442,1193.498227
0.653875,1192.456493
0.674309,1194.420492
0.694743,1192.846989
0.715176,1193.352981
0.735610,1192.168638
0.756043,1191.147899
0.776477,1192.322939
0.796911,1191.314061
0.817344,1191.527901
0.837778,1191.512152
0.858211,1190.954971
0.878645,1191.633083
0.899079,1191.512715
0.919512,1192.898025
0.939946,1190.945831
0.960379,1190.453822
0.980813,1189.729147
1.001247,1190.837625
1.021680,1191.971005
1.042114,1190.495481
1.062547,1189.913024
1.082981,1188.143311
1.103415,1191.156920
1.123848,1189.955808
1.144282,1190.012760
1.164715,1191.042490
1.185149,1191.543290
1.205583,1190.869033
1.226016,1190.134473
1.246450,1190.305698
1.266884,1189.375023
1.287317,1189.684956
1.307751,1190.530660
1.328184,1191.067037
1.348618,1190.936333
1.369051,1190.605277
1.389485,1190.210221
1.409919,1189.882461
1.430352,1189.934548
1.450786,1190.592140
1.471220,1191.209201
1.491653,1191.034515
1.512087,1189.155848
1.532520,1188.955377
1.552954,1188.796559
1.573388,1189.155320
1.593821,1189.959881
1.614255,1188.723664
1.634688,1163.881855
1.655122,1197.661140
1.675556,1198.274662
1.695989,1198.710574
1.716423,1196.624409
1.736856,1198.136127
1.757290,1196.982684
1.777724,1198.457997
1.798157,1196.947960
1.818591,1198.660546
1.839024,1197.503171
1.859458,1196.960578
1.879892,1196.948223
1.900325,nan
1.920759,1195.354920
1.941192,1196.628496
1.961626,1195.355722
1.982060,1194.476087
2.002493,1193.974652
2.022927,1194.740047
2.043360,1193.236371
2.063794,1193.513945
2.084228,1194.545417
2.104661,1193.948179
2.125095,1194.462391
2.145528,1194.290924
2.165962,1194.327126
2.186396,1193.256732
2.206829,1191.496225
2.227263,1192.133897
2.247696,1190.806436
2.268130,1192.323031
2.288564,1191.532818
2.308997,1192.600188
2.329431,1192.494266
2.349864,1192.224939
2.370298,1191.650387
2.390732,1192.267364
2.411165,1192.888741
2.431599,1191.798290
2.452032,1193.020876
2.472466,1191.448177
2.492900,1191.813305
2.513333,1191.831904
2.533767,1190.699625
2.554201,1189.011933
2.574634,1191.379002
2.595068,1190.833596
2.615501,1190.488394
2.635935,1189.709939
2.656369,1190.409032
2.676802,1189.665054
2.697236,1190.053072
2.717669,1190.373292
2.738103,1191.044385
2.758537,1192.116891
2.778970,1189.663729
2.799404,1190.640897
2.819837,1190.731615
2.840271,1190.578315
2.860705,1189.512345
2.881138,1190.748205
2.901572,1190.864924
2.922005,1190.182145
2.942439,1192.294567
2.962873,1192.280229
2.983306,1191.524192
3.003740,1189.316938
3.024173,1189.709293
3.044607,1189.758447
3.065041,1192.074081
3.085474,1190.893622
3.105908,1169.069364
3.126341,1195.718739
3.146775,1196.727391
3.167209,1195.369076
3.187642,1195.213032
3.208076,1195.411495
3.228509,1195.607814
3.248943,1196.523853
3.269377,1196.716645
3.289810,1195.440858
3.310244,1197.174334
3.330677,1194.654707
3.351111,1194.940429
3.371545,1195.980565
3.391978,1195.667837
3.412412,1194.526479
3.432845,1195.254318
3.453279,1195.071894
3.473713,1194.319947
3.494146,1195.289692
3.514580,1193.805859
3.535014,1194.116338
3.555447,1193.506905
3.575881,1194.262706
3.596314,1193.241774
3.616748,1193.714861
3.637182,1193.203121
3.657615,1192.503779
3.678049,1192.638788
3.698482,1192.740748
3.718916,1191.802425
3.739349,1190.495876
3.759783,1191.994466
3.780217,1190.913397
3.800650,1192.645401
3.821084,1192.132653
3.841518,1191.178028
3.861951,nan
3.882385,1194.571213
3.902818,1195.082222
3.923252,1193.854323
3.943686,1193.838205
3.964119,1192.641410
3.984553,1193.697668
4.004986,1193.056537
4.025420,1193.364946
4.045854,1192.693374
4.066287,1192.991686
4.086721,1192.881672
4.107155,1193.630997
4.127588,1192.651175
4.148022,1192.857266
4.168455,1194.334252
4.188889,1193.356769
4.209322,1193.478493
4.229756,1194.915822
4.250190,1194.234689
4.270623,1194.618413
4.291057,1194.030945
4.311490,1194.049810
4.331924,1194.284945
4.352358,1194.325134
4.372791,1193.979385
4.393225,1194.534593
4.413658,1194.220131
4.434092,1194.265845
4.454526,1194.033239
4.474959,1193.725014
4.495393,1194.789429
4.515826,1194.698936
4.536260,1194.890635
4.556694,1194.799867
4.577127,1194.668816
4.597561,1193.815100
4.617994,1194.034765
4.638428,1194.704130
4.658862,1193.677211
4.679295,1194.339335
4.699729,1194.760153
4.720162,1196.318195
4.740596,1192.421847
4.761030,1193.059352
4.781463,1195.633379
4.801897,1193.454797
4.822331,1193.736420
4.842764,1193.351660
4.863198,1193.840508
4.883631,1193.359269
4.904065,1194.996285
4.924499,1193.083246
4.944932,1192.859474
4.965366,1195.275425
4.985799,1192.914644
5.006233,1191.957150
5.026667,1192.839497
5.047100,1191.825269
5.067534,1192.461241
5.087967,1192.030181
5.108401,1192.197046
5.128835,1192.361866
5.149268,1193.714113
5.169702,1192.546173
5.190135,1191.566345
5.210569,1191.953869
5.231003,1192.857464
5.251436,1192.927394
5.271870,1193.563158
5.292303,1193.002595
5.312737,1192.756402
5.333171,1193.402331
5.353604,1193.034382
5.374038,1191.244943
5.394471,1192.075570
5.414905,1194.061774
5.435339,1193.351996
5.455772,1194.143804
5.476206,1193.196454
5.496639,1192.269422
5.517073,1191.811420
5.537507,1192.645853
5.557940,1193.645867
5.578374,1192.842536
5.598807,1194.329276
5.619241,1194.633815
5.639675,1192.635443
5.660108,1192.712077
5.680542,1192.336197
5.700975,1193.351745
5.721409,1194.686996
5.741843,1192.987718
5.762276,1193.326679
5.782710,1194.030713
5.803144,1194.563298
5.823577,nan
5.844011,1192.610012
5.864444,1193.252734
5.884878,1193.491710
5.905312,1194.025424
5.925745,1194.342218
5.946179,1193.225206
5.966612,1192.972756
5.987046,1192.903108
6.007479,1193.829064
6.027913,1192.873374
6.048347,1192.851301
6.068780,1192.724480
6.089214,1193.716933
6.109648,1193.336738
6.130081,1193.014586
6.150515,1192.720639
6.170948,1192.351185
6.191382,1192.860882
6.211816,1192.865461
6.232249,1192.264295
6.252683,1191.851849
6.273116,1192.227041
6.293550,1191.775527
6.313984,1192.458022
6.334417,1192.005752
6.354851,1191.142145
6.375284,1190.911066
6.395718,1194.382624
6.416152,1193.992813
6.436585,1192.445113
6.457019,1191.433541
6.477452,1194.564221
6.497886,1192.159064
6.518320,1192.519700
6.538753,1191.368685
6.559187,1192.996615
