EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
215705313,19 12 39.236,-23 41 47.06,0,7.627,,,,19123923-2341470,,STAR,J,,,,,,,,,,,,,,,,,,,,,7.627,0.021,5.957,0.033,4.862,0.023,,,,,,,,,27.330
215802892,19 09 22.354,-23 30 45.74,0,7.907,,6874-832-1,333-203045,,,STAR,BV,-0.700,1.600,1.700,1.600,,,10.003,0.043,8.272,0.015,,,,,,,,,,,,,,,,,,,,,,,,,28.246
215578117,19 10 08.921,-23 56 06.22,0,6.864,,,331-192438,19100893-2356062,,STAR,J,-7.000,1.500,-3.700,2.000,,,,,,,,,,,,,,,,,6.864,0.020,5.938,0.033,5.552,0.017,,,,,,,,,38.037
216116430,19 13 58.044,-22 55 54.57,0,7.681,94494,6874-745-1,336-187748,,,STAR,BV,-11.620,1.030,-2.620,0.660,1.960,0.810,9.610,0.025,8.011,0.012,,,,,,,,,,,,,,,,,,,,,,,,,44.714
215747117,19 14 27.451,-23 37 02.25,0,7.822,,,,19142745-2337022,,STAR,J,,,,,,,,,,,,,,,,,,,,,7.822,0.020,6.940,0.034,6.307,0.021,,,,,,,,,45.918
215454480,19 10 59.824,-24 11 05.53,0,7.217,94238,6874-1301-1,330-186990,19105983-2411056,,STAR,BV,7.030,0.770,-4.360,0.430,2.820,0.640,8.426,0.017,7.397,0.011,,,,,,,,,,,5.537,0.019,5.077,0.020,4.920,0.020,,,,,,,,,49.682
215409039,19 11 47.937,-24 16 49.26,0,6.556,,,,19114793-2416492,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.556,0.023,5.642,0.017,5.263,0.021,,,,,,,,,55.619
215942128,19 06 32.278,-23 15 12.24,0,7.255,93832,6873-680-1,334-197070,19063228-2315121,,STAR,BV,-10.310,1.090,4.750,0.580,3.850,0.710,8.595,0.018,7.462,0.011,,,,,,,,,,,5.411,0.019,4.926,0.040,4.720,0.023,,,,,,,,,66.105
216088798,19 06 31.750,-22 58 56.90,0,7.095,,,336-185024,19063173-2258570,,STAR,J,-4.000,2.200,0.100,1.800,,,,,,,,,,,,,,,,,7.095,0.023,6.146,0.038,5.792,0.018,,,,,,,,,69.763
215310282,19 12 45.542,-24 29 14.11,0,7.683,94397,6878-718-1,328-187565,19124553-2429140,,STAR,BV,31.020,0.740,-14.150,0.450,6.390,0.640,7.608,0.015,7.576,0.010,,,,,,,,,,,7.416,0.030,7.406,0.029,7.400,0.026,,,,,,,,,70.476
215280111,19 09 34.775,-24 33 04.41,0,6.535,,,,19093477-2433044,,STAR,J,3.200,2.700,7.100,1.600,,,,,,,,,,,,,,,,,6.535,0.020,5.626,0.036,5.245,0.018,,,,,,,,,75.323
215457152,19 15 33.230,-24 10 45.67,0,6.153,94645,6875-3273-1,330-188482,19153322-2410455,,STAR,BV,117.970,0.910,-101.670,0.470,36.300,0.700,6.772,0.015,6.237,0.010,,,,,,,,,,,5.296,0.027,5.101,0.044,4.936,0.018,,,,,,,,,76.185
216354732,19 06 58.293,-22 29 51.42,0,6.699,93866,6295-378-1,338-186168,,,STAR,BV,0.920,0.570,-8.440,0.350,3.050,0.530,7.907,0.017,6.879,0.010,,,,,,,,,,,,,,,,,,,,,,,,,79.222
215570204,19 06 07.639,-23 56 57.29,0,7.113,,,331-190885,19060764-2356574,,STAR,J,3.300,2.900,-3.400,3.500,,,,,,,,,,,,,,,,,7.113,0.024,6.228,0.038,5.820,0.018,,,,,,,,,79.551
216673597,19 12 05.815,-21 55 41.72,0,7.995,94338,6308-1560-1,341-184284,19120581-2155414,,STAR,gri,5.790,0.770,-5.620,0.560,3.330,0.760,9.050,0.019,7.865,0.011,,,9.542,0.030,8.569,0.040,7.331,0.020,,,5.789,0.023,5.265,0.018,5.070,0.017,,,,,,,,,86.587
216674654,19 12 05.544,-21 55 35.17,0,7.995,,,341-184283,19120554-2155352,,STAR,gri,5.900,2.500,-6.000,2.500,,,11.743,0.040,8.711,0.010,,,9.542,0.030,8.569,0.040,7.331,0.020,,,9.782,0.032,9.382,0.055,9.383,0.046,,,,,,,,,86.687
216598898,19 14 08.767,-22 03 38.29,0,7.077,94510,6308-2295-1,340-184272,19140876-2203382,,STAR,BV,4.410,0.510,-12.760,0.370,8.300,0.480,7.064,0.015,6.987,0.010,,,,,,,,,,,6.806,0.020,6.792,0.027,6.754,0.027,,,,,,,,,87.257
215215084,19 06 56.580,-24 41 24.21,0,7.735,,,327-179318,19065657-2441240,,STAR,J,-8.200,2.500,-2.800,2.500,,,,,,,,,,,,,,,,,7.735,0.023,6.796,0.033,6.437,0.020,,,,,,,,,99.772
216135840,19 04 14.194,-22 53 47.47,0,6.931,93649,6873-342-1,336-184083,19041419-2253474,,STAR,BV,-3.980,1.290,-4.850,0.740,3.290,0.890,7.054,0.016,6.878,0.011,,,,,,,,,,,6.340,0.019,6.284,0.036,6.229,0.020,,,,,,,,,101.512
215672750,19 04 02.769,-23 45 29.02,0,7.504,,,332-190036,19040276-2345290,,STAR,J,-5.500,1.900,1.600,1.900,,,,,,,,,,,,,,,,,7.504,0.027,6.555,0.047,6.053,0.023,,,,,,,,,102.745
216824964,19 12 28.037,-21 39 30.17,0,6.184,94372,6308-2022-1,342-179037,,,STAR,BV,32.960,0.490,-22.000,0.330,7.230,0.480,7.521,0.015,6.390,0.010,,,,,,,,,,,,,,,,,,,,,,,,,103.341
215202448,19 16 02.856,-24 43 02.02,0,7.557,94690,6879-819-1,327-182230,19160285-2443019,,STAR,BV,11.830,0.990,-5.590,0.580,8.060,0.810,7.772,0.016,7.530,0.012,,,,,,,,,,,7.056,0.023,7.024,0.031,6.960,0.026,,,,,,,,,104.096
216560868,19 05 58.052,-22 07 43.02,0,6.532,,,340-180902,19055806-2207432,,STAR,J,4.400,5.400,-4.800,5.600,,,,,,,,,,,,,,,,,6.532,0.024,5.455,0.038,4.686,0.023,,,,,,,,,104.541
216843229,19 12 07.595,-21 37 32.77,0,7.088,,,342-178928,19120760-2137329,,STAR,J,4.300,1.800,-2.500,1.200,,,,,,,,,,,,,,,,,7.088,0.019,6.210,0.026,5.849,0.017,,,,,,,,,104.662
215918992,19 03 32.563,-23 17 44.97,0,5.640,,,334-195999,19033257-2317448,,STAR,J,4.900,2.100,-4.000,2.100,,,,,,,,,,,,,,,,,5.640,0.019,4.778,0.194,,,,,,,,,,,107.109
215036150,19 08 46.868,-25 04 45.58,0,6.975,94045,6878-507-1,325-199184,19084686-2504455,,STAR,BV,-2.270,0.490,-1.120,0.350,4.250,0.470,6.843,0.015,6.853,0.010,,,,,,,,,,,6.752,0.024,6.794,0.029,6.807,0.023,,,,,,,,,108.821
215778467,19 19 17.710,-23 33 29.36,0,7.624,94951,6875-222-1,333-206268,19191769-2333294,,STAR,BV,33.180,0.840,-20.500,0.620,9.130,0.860,8.714,0.019,7.778,0.013,,,,,,,,,,,6.121,0.018,5.670,0.034,5.543,0.020,,,,,,,,,110.462
215221983,19 05 37.361,-24 40 30.66,0,7.060,,6877-154-1,327-178881,,,STAR,BV,0.300,1.200,-9.000,1.200,,,8.677,0.018,7.325,0.011,,,,,,,,,,,,,,,,,,,,,,,,,110.937
216455919,19 03 45.835,-22 18 58.03,0,7.614,,,339-175882,19034583-2218579,,STAR,J,-4.600,2.900,-3.500,4.000,,,,,,,,,,,,,,,,,7.614,0.020,6.723,0.031,6.214,0.020,,,,,,,,,121.722
214956066,19 15 32.424,-25 15 24.05,0,4.768,94643,6879-2498-1,324-199439,,,STAR,BV,45.500,0.450,-31.080,0.210,10.930,0.310,5.415,0.014,4.859,0.009,,,,,,,,,,,,,,,,,,,,,,,,,127.624
214989881,19 16 18.962,-25 10 52.40,0,7.121,,,325-201916,19161895-2510524,,STAR,J,-11.700,5.200,-9.200,2.300,,,,,,,,,,,,,,,,,7.121,0.021,6.212,0.024,5.610,0.016,,,,,,,,,128.911
217084133,19 10 17.256,-21 11 59.58,0,7.654,,,345-181722,19101725-2111595,,STAR,J,4.200,2.400,4.600,5.000,,,,,,,,,,,,,,,,,7.654,0.023,6.782,0.026,6.260,0.018,,,,,,,,,130.389
215368649,19 02 42.759,-24 21 52.47,0,7.821,93516,6873-741-1,329-179491,,,STAR,gri,-11.450,0.700,-9.840,0.440,1.260,0.670,9.387,0.026,7.690,0.012,,,9.619,0.030,8.564,0.040,7.050,0.060,,,,,,,,,,,,,,,,,132.492
216778441,19 04 40.979,-21 44 29.38,0,3.567,93683,6295-2492-1,342-175740,,,STAR,BV,76.350,0.310,-58.120,0.180,22.960,0.240,4.776,0.014,3.747,0.009,,,,,,,,,,,,,,,,,,,,,,,,,133.671
214947565,19 16 27.751,-25 16 33.18,0,5.564,,,324-199711,19162773-2516334,,STAR,J,2.200,3.800,0.600,3.000,,,,,,,,,,,,,,,,,5.564,0.018,,,,,,,,,,,,,134.781
216916003,19 16 57.854,-21 29 46.31,0,7.883,94765,6308-1640-1,343-187816,19165786-2129461,,STAR,BV,-2.750,0.880,-9.360,0.550,2.830,0.840,9.681,0.034,8.186,0.015,,,,,,,,,,,5.446,0.019,4.790,0.029,4.530,0.021,,,,,,,,,136.537
215955460,19 01 23.958,-23 13 41.58,0,7.637,93405,6873-765-1,334-195065,19012394-2313414,,STAR,BV,13.200,0.930,5.220,0.640,3.860,0.840,8.900,0.019,7.828,0.012,,,,,,,,,,,5.818,0.020,5.273,0.036,5.122,0.018,,,,,,,,,136.825
215442333,19 20 41.082,-24 12 37.47,0,6.672,95083,6875-2742-1,329-185470,,,STAR,BV,2.600,0.690,-135.430,0.430,7.110,0.790,7.817,0.016,6.838,0.011,,,,,,,,,,,,,,,,,,,,,,,,,138.369
216245999,19 01 37.742,-22 41 43.32,0,5.869,93423,6873-524-1,337-179612,,,STAR,BV,3.700,0.690,-0.060,0.420,1.610,0.550,7.872,0.017,6.215,0.010,,,,,,,,,,,,,,,,,,,,,,,,,139.517
216407903,19 20 38.152,-22 24 09.13,0,5.595,95077,6309-2756-1,338-191152,,,STAR,BV,-10.630,0.360,27.330,0.240,18.060,0.350,5.851,0.015,5.579,0.009,,,,,,,,,,,,,,,,,,,,,,,,,141.051
217183975,19 09 45.835,-21 01 25.01,0,2.839,94141,6295-282-1,345-181481,,,STAR,BV,-1.360,0.470,-36.450,0.310,6.400,0.430,3.226,0.014,2.859,0.009,,,,,,,,,,,,,,,,,,,,,,,,,141.827
214967478,19 04 45.857,-25 13 51.91,0,7.180,93691,6877-429-1,324-195686,19044586-2513519,,STAR,BV,9.150,0.540,-21.220,0.360,6.910,0.430,7.154,0.015,7.087,0.010,,,,,,,,,,,6.881,0.026,6.877,0.024,6.862,0.026,,,,,,,,,143.598
216443906,19 20 52.617,-22 20 15.18,0,7.327,,,339-182361,19205261-2220150,,STAR,J,26.000,3.900,-8.900,1.900,,,,,,,,,,,,,,,,,7.327,0.026,6.438,0.046,6.073,0.017,,,,,,,,,145.727
217202030,19 08 33.904,-20 59 29.46,0,7.837,94026,6295-688-1,346-174605,19083390-2059293,,STAR,BV,-11.650,0.870,-46.570,0.580,3.410,0.900,9.268,0.022,8.063,0.013,,,,,,,,,,,5.972,0.018,5.408,0.036,5.238,0.020,,,,,,,,,147.150
214762971,19 07 54.661,-25 42 08.00,0,7.274,93963,6878-337-1,322-201403,19075466-2542080,,STAR,BV,28.950,0.850,-8.700,0.560,4.470,0.730,8.503,0.018,7.458,0.011,,,,,,,,,,,5.558,0.027,5.065,0.033,4.890,0.023,,,,,,,,,148.004
215614082,19 00 25.166,-23 52 10.94,0,6.472,,,,19002516-2352109,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.472,0.023,5.521,0.018,5.153,0.026,,,,,,,,,152.822
214777922,19 16 11.353,-25 40 00.35,0,6.921,94699,6879-760-1,322-204257,19161135-2540003,,STAR,BV,0.290,1.060,-33.300,0.590,8.150,0.790,8.292,0.020,7.134,0.012,,,,,,,,,,,5.209,0.023,,,4.549,0.016,,,,,,,,,153.564
214677201,19 13 13.667,-25 54 24.44,0,5.493,94434,6878-943-1,321-213713,,,STAR,BV,-1.460,0.450,-9.490,0.280,1.920,0.360,7.143,0.015,5.765,0.009,,,,,,,,,,,,,,,,,,,,,,,,,155.018
214670719,19 09 50.632,-25 55 20.19,0,7.338,,,,19095063-2555201,,STAR,J,,,,,,,,,,,,,,,,,,,,,7.338,0.020,6.276,0.018,5.633,0.021,,,,,,,,,155.036
215962336,18 59 52.324,-23 12 55.76,0,7.765,,,334-194295,18595232-2312557,,STAR,J,1.700,4.800,-2.300,2.200,,,,,,,,,,,,,,,,,7.765,0.021,6.856,0.051,6.486,0.024,,,,,,,,,157.883
217156687,19 17 14.985,-21 04 18.84,0,7.188,,6308-1224-1,345-184314,19171498-2104189,,STAR,BV,3.900,1.000,-7.000,1.000,,,8.464,0.019,7.382,0.012,,,,,,,,,,,5.535,0.018,5.046,0.046,4.886,0.020,,,,,,,,,160.126
215935338,18 59 29.546,-23 15 57.38,0,7.810,93239,6873-648-1,334-194130,,,STAR,BV,-2.520,1.060,-13.250,0.660,2.280,0.970,9.467,0.029,8.083,0.014,,,,,,,,,,,,,,,,,,,,,,,,,162.942
215136617,19 01 13.191,-24 51 32.88,0,7.202,,,326-185002,19011318-2451329,,STAR,J,0.800,2.900,-1.800,2.900,,,,,,,,,,,,,,,,,7.202,0.026,6.300,0.038,5.684,0.017,,,,,,,,,164.890
215494409,18 59 42.415,-24 06 05.31,0,5.772,,,330-182458,18594241-2406052,,STAR,J,0.500,3.200,-8.700,2.700,,,,,,,,,,,,,,,,,5.772,0.023,,,4.268,0.034,,,,,,,,,165.473
217404766,19 14 10.378,-20 38 01.41,0,6.906,,,,19141038-2038014,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.906,0.023,6.022,0.024,5.692,0.021,,,,,,,,,168.340
217226832,19 05 03.831,-20 56 50.61,0,6.987,,6295-567-1,346-173006,,,STAR,BV,-2.900,1.200,-32.200,1.300,,,8.936,0.021,7.322,0.011,,,,,,,,,,,,,,,,,,,,,,,,,168.798
215634761,18 58 54.543,-23 49 51.93,0,6.492,,,331-187895,18585453-2349519,,STAR,J,-3.000,2.500,1.600,2.500,,,,,,,,,,,,,,,,,6.492,0.020,5.513,0.036,5.072,0.016,,,,,,,,,172.840
214528652,19 10 20.273,-26 16 10.28,0,6.422,,,,19102027-2616102,,STAR,J,,,,,,,,,,,,,,,,,,,,,6.422,0.032,5.519,0.034,5.151,0.027,,,,,,,,,175.075
215098360,19 00 24.814,-24 56 31.81,0,6.117,93315,6877-263-1,326-184614,,,STAR,BV,54.910,0.650,41.730,0.390,5.500,0.530,7.609,0.017,6.356,0.010,,,,,,,,,,,,,,,,,,,,,,,,,176.827
