EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
213314304,285.6530457,-29.8800621,2.666,93506,6885-2837-1,301-255103,,53,41,869,2.685,2.585,,,,,,,,,,
217183975,287.440979,-21.0236149,2.839,94141,6295-282-1,345-181481,,45,686,594,3.226,2.859,,,,,,,,,,
213994647,286.7350464,-27.6704216,3.075,93864,6881-1777-1,312-239349,,59,696,307,4.477,3.295,,,,,,,,,,
217136868,284.4324951,-21.1066551,3.279,93085,6294-2507-1,345-175727,,65,821,490,4.697,3.502,,,,,,,,,,
216778441,286.1707458,-21.7414951,3.567,93683,6295-2492-1,342-175740,,46,310,345,4.776,3.747,,,,,,,,,,
216354029,280.5420837,-22.4988861,4.456,,,338-171801,18421010-2229558,84,1001,765,,,4.456,3.369,,,,,,,,
216219308,283.5423889,-22.7448406,4.566,92761,6860-863-1,337-175720,,67,236,489,6.251,4.845,,,,,,,,,,
218354809,289.4086609,-18.9529076,4.702,94820,6304-334-1,356-182460,,28,1050,402,5.895,4.878,,,,,,,,,,
216258912,283.7797546,-22.6713371,4.726,92845,6860-304-1,337-176331,,67,235,698,6.352,4.993,,,,,,,,,,
215125430,294.1768188,-24.8836193,4.744,96465,6893-2132-1,326-195066,,1,490,285,4.528,4.598,,,,,,,,,,
214956066,288.8851013,-25.2566814,4.768,94643,6879-2498-1,324-199439,,38,892,402,5.415,4.859,,,,,,,,,,
216413647,281.5858765,-22.3921738,5.037,92111,6292-924-1,339-165773,,82,1058,547,6.961,5.366,,,,,,,,,,
217391953,284.3353271,-20.6563473,5.14,93057,6294-1245-1,347-163848,,65,409,437,5.14,5.054,,,,,,,,,,
214245810,292.4674377,-26.9856148,5.28,95865,6884-2463-1,316-230756,,13,893,341,6.623,5.488,,,,4932,3.405,-0.121,3.574,1.229,71.74,0.025
216758825,291.579834,-21.7766914,5.334,95564,6309-1875-1,342-183575,,23,892,229,6.806,5.569,,,,,,,,,,
215142368,285.6153259,-24.8468266,5.398,93498,6877-981-1,326-185514,,62,465,667,6.849,5.628,,,,4651,2.483,0.011,11.393,1.511,78.99,0
216861779,279.732666,-21.5928955,5.417,,,343-166175,18385584-2135343,84,15,352,,,5.417,,,,,,,,,
216993438,283.5003967,-21.3598461,5.448,92747,6293-2525-1,344-171341,,68,790,858,6.898,5.678,,,,,,,,,,
214677201,288.3069458,-25.9067879,5.493,94434,6878-943-1,321-213713,,37,683,788,7.143,5.765,,,,,,,,,,
214947565,289.1156311,-25.2758827,5.564,,,324-199711,19162773-2516334,38,721,485,,,5.564,,,,,,,,,
213043716,286.1044006,-31.0470791,5.59,93667,7410-3044-1,295-221502,,56,30,179,5.512,5.482,,,,,,,,,,
216407903,290.1589661,-22.4025364,5.595,95077,6309-2756-1,338-191152,,22,984,618,5.851,5.579,,,,,,,,,,
218177651,292.3266907,-19.2722549,5.629,,,354-177008,19291840-1916199,9,628,781,,,5.629,,,,,,,,,
213470603,291.2668457,-29.3093586,5.676,95456,6888-2980-1,304-257947,,35,433,235,7.196,5.921,,,,4804,3.076,-0.071,5.643,1.295,91.32,0.032
215201606,294.006897,-24.7190781,5.696,96406,6893-2131-1,327-186696,19360166-2443087,1,682,213,5.809,5.64,5.38,5.343,5.279,,,,,,,
213671853,286.8785095,-28.6368046,5.698,93925,6886-1547-1,307-255665,,54,890,133,7.622,6.027,,,,,,,,,,
215494409,284.9267273,-24.1014748,5.772,,,330-182458,18594241-2406052,61,934,981,,,5.772,,4.268,,,,,,,
215847238,295.0298462,-23.4290848,5.774,96760,6889-2261-1,333-211634,,3,790,713,7.001,5.957,,,,4832,2.872,-0.253,6.516,1.261,109.9,0.033
213838114,288.5747681,-28.1258163,5.801,,,,19141794-2807329,33,183,161,,,5.801,4.946,4.57,,,,,,,
217087047,283.8647156,-21.1947651,5.825,,,345-174415,18552753-2111411,65,741,969,,,5.825,,4.494,,,,,,,
217877915,287.4506226,-19.8036575,5.893,94144,6291-1794-1,351-171019,,48,301,536,7.28,6.109,,,,4688,2.806,-0.124,7.056,1.178,118.5,0.039
217968380,291.6073608,-19.6436367,5.904,,,,19262576-1938370,9,541,86,,,5.904,5.083,4.645,,,,,,,
215208762,284.8731689,-24.7036877,5.921,,,327-176236,18592957-2442131,63,788,964,,,5.921,5.027,4.419,,,,,,,
215067200,281.2066956,-25.0109177,5.921,91974,6863-330-1,325-187723,18444960-2500394,80,757,606,5.836,5.811,5.64,5.602,5.613,9210,3.606,0.035,4.326,3.012,177.3,0.051
218287369,283.4263,-19.0746784,5.941,,,355-168812,18534231-1904288,69,748,804,,,5.941,,,,,,,,,
218121095,282.7068481,-19.3737717,5.948,,,354-158222,18504964-1922255,70,806,735,,,5.948,,4.281,,,,,,,
214704971,289.9387512,-25.8398781,5.952,,,321-215622,19194530-2550235,39,277,960,,,5.952,5.028,4.608,,,,,,,
216322497,279.7589722,-22.5558643,5.982,,,338-169078,18390214-2233211,84,853,124,,,5.982,5.071,4.569,,,,,,,
217512838,285.3297119,-20.4440365,6.037,,,348-168996,19011912-2026385,47,31,475,,,6.037,,4.492,,,,,,,
219442656,287.436615,-16.7402306,6.052,,,,19094478-1644248,31,285,511,,,6.052,5.229,4.851,,,,,,,
218598946,283.4302063,-18.5093632,6.067,,,358-176040,18534325-1830337,72,574,876,,,6.067,,,,,,,,,
214079168,285.3478699,-27.4362602,6.119,,,313-241321,19012350-2726106,60,551,881,,,6.119,5.149,4.449,,,,,,,
214374897,283.117981,-26.6507702,6.123,92635,6868-429-1,317-212005,,73,71,535,7.25,6.285,,,,4903,3.057,-0.294,5.305,1.188,113.6,0.034
215620050,293.6414185,-23.8588295,6.124,96274,6889-1323-1,331-199609,,2,707,239,8.154,6.475,,,,,,,,,,
215457152,288.8884583,-24.1793518,6.153,94645,6875-3273-1,330-188482,19153322-2410455,43,547,82,6.772,6.237,5.296,5.101,4.936,,,,,,,
213867506,286.5809631,-28.0383148,6.161,,,,19061942-2802179,59,926,34,,,6.161,5.243,4.895,,,,,,,
219063200,289.2400208,-17.6063004,6.171,,,362-182120,19165761-1736227,29,747,369,,,6.171,5.221,4.758,,,,,,,
213926179,291.1257629,-27.8659439,6.176,95408,6884-2464-1,311-249607,19243018-2751573,34,52,675,5.889,6.011,6.284,6.385,6.392,14036,3.816,0.036,4.253,4.603,273.2,0.086
217394198,283.8786926,-20.6523952,6.209,,,347-162956,18553089-2039086,65,280,802,,,6.209,,4.818,,,,,,,
218568199,284.8615723,-18.5664349,6.211,93234,6286-180-1,358-180073,,50,212,837,7.358,6.378,,,,,,,,,,
216337004,284.6034546,-22.5294952,6.228,93140,6860-432-1,338-182053,18582483-2231462,66,137,775,6.224,6.141,5.962,5.93,5.907,,,,,,,
215633526,280.4651184,-23.8334236,6.234,91689,6858-2986-1,331-178324,18415162-2350001,83,92,337,6.445,6.205,5.79,5.706,5.687,7658,4.152,0.025,1.801,1.702,62.89,0
215388317,282.9326172,-24.3236599,6.248,,,329-174340,18514383-2419252,77,600,17,,,6.248,5.225,4.663,,,,,,,
217904720,282.053833,-19.7563667,6.26,,,352-152562,18481292-1945227,70,169,585,,,6.26,5.114,4.31,,,,,,,
218369781,288.6686707,-18.9260139,6.263,,,,19144048-1855336,27,590,149,,,6.263,5.361,4.969,,,,,,,
219269177,285.8327026,-17.1489067,6.266,,,365-163655,19031985-1708561,52,795,395,,,6.266,5.265,4.792,,,,,,,
218271463,285.7791443,-19.1030235,6.296,93543,6290-1216-1,355-174832,19030699-1906108,50,794,117,6.833,6.357,5.452,5.266,5.182,,,,,,,
216005524,281.0071411,-23.1358299,6.312,,,335-185518,18440171-2308089,83,556,953,,,6.312,5.405,4.896,,,,,,,
218315918,289.8580322,-19.0235329,6.313,,,355-182466,19192592-1901246,28,715,597,,,6.313,5.46,4.966,2519,-0.84,0.361,531.376,1.609,4180,0.355
215968295,280.028656,-23.204567,6.334,,,334-182600,18400686-2312165,83,743,157,,,6.334,5.322,4.88,,,,,,,
216902932,283.2846375,-21.5196819,6.335,,,343-176435,18530830-2131106,68,869,640,,,6.335,5.385,4.891,,,,,,,
218549258,282.189209,-18.6011486,6.346,92301,6285-193-1,357-163490,,71,613,626,7.354,6.536,,,,,,,,,,
217367389,290.0403748,-20.699522,6.363,,,347-173876,19200968-2041581,25,1110,94,,,6.363,5.355,4.827,,,,,,,
218679163,292.0219421,-18.3593082,6.389,95713,6302-2333-1,359-189884,,10,730,839,8.313,6.718,,,,,,,,,,
218198363,290.4046326,-19.2344456,6.392,95159,6305-1348-1,354-174463,19213711-1914042,28,348,942,6.137,6.236,6.416,6.487,6.518,,,,,,,
215230346,287.0606689,-24.6573715,6.403,93993,6878-781-1,327-179774,19081455-2439266,44,113,199,6.29,6.286,6.18,6.228,6.165,10391,3.714,0.021,4.235,3.402,220.3,0.069
213416232,287.8283997,-29.5022907,6.405,94272,6886-2564-1,303-260994,19111881-2930081,55,447,1036,6.235,6.272,6.234,6.288,6.243,,,,,,,
214528652,287.5844727,-26.2695217,6.422,,,,19102027-2616102,37,17,894,,,6.422,5.519,5.151,,,,,,,
215847988,294.9560852,-23.4276981,6.428,96729,6889-2260-1,333-211583,19394945-2325397,3,765,769,6.352,6.321,6.224,6.263,6.231,,,,,,,
215484435,281.8898315,-24.122261,6.43,,,330-176369,18473355-2407201,77,159,780,,,6.43,5.48,4.976,,,,,,,
218473951,286.7846985,-18.7381706,6.431,93887,6287-9-1,357-175513,19070833-1844174,49,507,139,6.243,6.293,6.308,6.34,6.34,11275,3.912,0.001,3.099,3.311,185.9,0.058
