EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
220448752,01 04 52.639,+05 39 22.56,0,5.696,5074,25-1372-1,479-001526,,,STAR,BV,30.850,0.580,-14.560,0.340,5.010,0.500,7.535,0.016,6.007,0.010,,,,,,,,,,,,,,,,,,,,,,,,,24.675
220448416,01 08 22.202,+05 38 59.35,0,5.496,5346,25-1379-1,479-001625,,,STAR,BV,-242.320,1.130,-165.070,0.780,28.400,1.040,5.829,0.014,5.501,0.010,,,,,,,,,,,,,,,,,,,,,,,,,50.709
220499704,01 03 47.149,+06 45 53.42,0,7.240,4978,25-142-1,484-001465,01034713+0645534,,STAR,BV,14.070,0.810,-12.070,0.510,8.290,0.780,7.167,0.015,7.134,0.011,,,,,,,,,,,6.999,0.021,6.989,0.034,6.957,0.016,,,,,,,,,93.128
220512218,01 04 50.435,+07 02 45.39,0,7.849,5073,25-526-1,486-001462,01045043+0702452,,STAR,BV,152.350,0.870,-99.590,0.710,13.170,0.850,8.443,0.018,7.926,0.013,,,,,,,,,,,6.963,0.026,6.694,0.036,6.647,0.024,,,,,,,,,107.287
220487484,00 59 49.687,+06 28 59.61,0,5.799,4655,18-40-1,483-001499,,,STAR,BV,20.590,0.440,-5.530,0.240,3.010,0.410,7.774,0.016,6.139,0.010,,,,,,,,,,,,,,,,,,,,,,,,,110.269
220421970,01 13 51.604,+05 08 30.62,0,7.582,5752,26-550-1,476-001907,01135160+0508305,,STAR,BV,58.700,0.720,-21.990,0.600,8.720,0.740,8.252,0.018,7.680,0.013,,,,,,,,,,,6.685,0.026,6.470,0.067,6.370,0.023,,,,,,,,,127.301
220549896,01 02 56.609,+07 53 24.49,0,4.093,4906,612-1446-1,490-001499,,,STAR,BV,-80.170,0.190,25.590,0.140,17.940,0.210,5.226,0.014,4.257,0.009,,,,,,,,,,,,,,,,,,,,,,,,,161.700
220510067,01 14 42.392,+06 59 42.49,0,5.825,5824,26-1202-1,485-001764,,,STAR,BV,-13.450,0.460,-24.330,0.470,6.280,0.560,7.122,0.016,6.022,0.010,,,,,,,,,,,,,,,,,,,,,,,,,173.990
220300144,01 00 05.641,+02 37 58.66,0,7.283,4677,22-40-1,464-001365,,,STAR,BV,-19.180,0.920,-7.840,0.530,1.840,0.790,9.078,0.024,7.585,0.012,,,,,,,,,,,,,,,,,,,,,,,,,176.292
220503647,00 55 19.554,+06 51 15.27,0,7.144,4323,18-698-1,485-001295,,,STAR,BV,37.830,0.630,5.360,0.420,3.720,0.550,8.507,0.018,7.356,0.011,,,,,,,,,,,,,,,,,,,,,,,,,177.446
