MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57582.08614972,57582.08494628677,2024.7084657172713,129231,0.42579546570777893,1868.1737592050695,1096.9490611231674,2186.3702056348175,2200.6792594389563,2151.2468112213305,2200.6792594389563,18.58281898498535,57582.08494628677,524288,-0.05092601850628853,2200.6792594389563
57582.10658342,57582.105378045824,2027.7979026813682,129232,0.44744518399238586,1877.3059534641802,1096.9313627777674,2186.968182225474,2201.5857327208205,2151.9311660462627,2201.5857327208205,18.583051681518555,57582.105378045824,0,-0.04893241822719574,2201.5857327208205
57582.12701702,57582.125809705045,2028.026468588861,129233,0.4656434655189514,1877.0409668208486,1096.9166244260607,2186.9723830709554,2201.231594531687,2152.204979045463,2201.231594531687,18.58330535888672,57582.125809705045,0,-0.046860210597515106,2201.231594531687
57582.14745052,57582.14624126441,2025.3016893873064,129234,0.48368072509765625,1874.118435383331,1096.9032273428945,2184.324950391399,2198.735558627567,2149.3871101749723,2198.735558627567,18.58357810974121,57582.14624126441,0,-0.046623244881629944,2198.735558627567
57582.16788422,57582.166673023894,2023.9586512819726,129235,0.5041695833206177,1871.4929079053522,1096.8837709045144,2182.4140152073096,2196.266847940812,2147.8471205876303,2196.266847940812,18.583871841430664,57582.166673023894,0,-0.04570455104112625,2196.266847940812
57582.18831782,57582.18710468354,2023.4335879166385,129236,0.5209915041923523,1870.025742129762,1096.86902289879,2182.3852384922848,2196.560968792758,2147.6409774895883,2196.560968792758,18.584184646606445,57582.18710468354,0,-0.045192357152700424,2196.560968792758
57582.20875132,57582.20753624333,2023.0376398097337,129237,0.5427548289299011,1869.690061820325,1096.849675627465,2180.6542067685905,2194.385964087798,2146.346359950117,2194.385964087798,18.584518432617188,57582.20753624333,0,-0.04480231925845146,2194.385964087798
57582.22918502,57582.227968003244,2024.3129947663483,129238,0.5582377910614014,1870.147905755905,1096.8357175141746,2183.1758480591425,2197.2414762478325,2148.2764574700623,2197.2414762478325,18.584871292114258,57582.227968003244,0,-0.04492911696434021,2197.2414762478325
57582.24961862,57582.24839966332,2022.784517605679,129239,0.5761798024177551,1868.1930132951652,1096.8219919151773,2180.0324484868443,2193.8045359082416,2145.78784413607,2193.8045359082416,18.58524513244629,57582.24839966332,0,-0.044813431799411774,2193.8045359082416
57582.27005212,57582.26883122354,2022.2829628633122,129240,0.5952648520469666,1866.8407401172349,1096.805450841306,2180.428410576308,2194.579203373645,2145.6404077979178,2194.579203373645,18.58563995361328,57582.26883122354,0,-0.04433911293745041,2194.579203373645
57582.29048582,57582.28926298388,2022.978091589736,129241,0.6189827919006348,1866.2012651236341,1096.7900809443845,2180.8261069298806,2194.675311674801,2146.2331606720636,2194.675311674801,18.586055755615234,57582.28926298388,0,-0.042869895696640015,2194.675311674801
57582.31091942,57582.30969464439,2022.6350415933457,129242,0.6440610885620117,1864.6301958742413,1096.767583908645,2180.324629447734,2194.788475596516,2145.496885429846,2194.788475596516,18.586490631103516,57582.30969464439,0,-0.040778081864118576,2194.788475596516
57582.33135292,57582.330126205045,2022.223469748485,129243,0.6692085862159729,1864.0735384239679,1096.7448258959876,2177.568450194135,2191.1459293370517,2143.652812520133,2191.1459293370517,18.586946487426758,57582.330126205045,0,-0.038654543459415436,2191.1459293370517
